File,File.Name,Number.of.observations,population,measure,description,year,elig,race_code,sex_code,adjust,dual,url
"year 6, eligcatall, sexcat all, dual all",ED_Final_long_blankelig_year_6_sexcat_all_dual_all.csv,10021806,f,e,emergency room usage,6,.,,.,,.,ed_final_long_blankelig_year_6_sexcat_all_dual_all
"year 6, eligcatall, sexcat all, dual 0",ED_Final_long_blankelig_year_6_sexcat_all_dual_0.csv,9284184,f,e,emergency room usage,6,.,,.,,0,ed_final_long_blankelig_year_6_sexcat_all_dual_0
"year 6, eligcatall, sexcat all, dual 1",ED_Final_long_blankelig_year_6_sexcat_all_dual_1.csv,7961837,f,e,emergency room usage,6,.,,.,,1,ed_final_long_blankelig_year_6_sexcat_all_dual_1
"blank eligcat, year 6, sexcat 1, dual all",ED_Final_long_blankelig_year_6_sexcat_1_dual_all.csv,8751252,f,e,emergency room usage,6,.,,1,,.,ed_final_long_blankelig_year_6_sexcat_1_dual_all
"blank eligcat, year 6, sexcat 1, dual 0",ED_Final_long_blankelig_year_6_sexcat_1_dual_0.csv,8179150,f,e,emergency room usage,6,.,,1,,0,ed_final_long_blankelig_year_6_sexcat_1_dual_0
"blank eligcat, year 6, sexcat 1, dual 1",ED_Final_long_blankelig_year_6_sexcat_1_dual_1.csv,6439147,f,e,emergency room usage,6,.,,1,,1,ed_final_long_blankelig_year_6_sexcat_1_dual_1
"blank eligcat, year 6, sexcat 2, dual all",ED_Final_long_blankelig_year_6_sexcat_2_dual_all.csv,8937402,f,e,emergency room usage,6,.,,2,,.,ed_final_long_blankelig_year_6_sexcat_2_dual_all
"blank eligcat, year 6, sexcat 2, dual 0",ED_Final_long_blankelig_year_6_sexcat_2_dual_0.csv,8219685,f,e,emergency room usage,6,.,,2,,0,ed_final_long_blankelig_year_6_sexcat_2_dual_0
"blank eligcat, year 6, sexcat 2, dual 1",ED_Final_long_blankelig_year_6_sexcat_2_dual_1.csv,7191899,f,e,emergency room usage,6,.,,2,,1,ed_final_long_blankelig_year_6_sexcat_2_dual_1
"year 6, fltr1&2, eligcat0-3, sexcat all, dual all",ED_Final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_all.csv,9288268,f,e,emergency room usage,6,1230,,.,12,.,ed_final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_all
"year 6, fltr1&2, eligcat0-3, sexcat all, dual 0",ED_Final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_0.csv,8055275,f,e,emergency room usage,6,1230,,.,12,0,ed_final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_0
"year 6, fltr1&2, eligcat0-3, sexcat all, dual 1",ED_Final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_1.csv,6798930,f,e,emergency room usage,6,1230,,.,12,1,ed_final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_1
"year 6, fltr3&4, eligcat0-3, sexcat all, dual all",ED_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_all.csv,9601708,f,e,emergency room usage,6,1230,,.,34,.,ed_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_all
"year 6, fltr3&4, eligcat0-3, sexcat all, dual 0",ED_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_0.csv,8290340,f,e,emergency room usage,6,1230,,.,34,0,ed_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_0
"year 6, fltr3&4, eligcat0-3, sexcat all, dual 1",ED_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_1.csv,7127596,f,e,emergency room usage,6,1230,,.,34,1,ed_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_1
"year 6, fltr1&2, eligcat0-3, sexcat 1",ED_Final_long_nonblankelig_fltr12_year_6_sexcat_1.csv,19648908,f,e,Emergency Room,6,1230,,1,12,,ed_final_long_nonblankelig_fltr12_year_6_sexcat_1
"year 6, fltr3&4, eligcat0-3, sexcat 1",ED_Final_long_nonblankelig_fltr34_year_6_sexcat_1.csv,20407908,f,e,Emergency Room,6,1230,,1,34,,ed_final_long_nonblankelig_fltr34_year_6_sexcat_1
"year 6, fltr1&2, eligcat0-3, sexcat 2",ED_Final_long_nonblankelig_fltr12_year_6_sexcat_2.csv,19855423,f,e,Emergency Room,6,1230,,2,12,,ed_final_long_nonblankelig_fltr12_year_6_sexcat_2
"year 6, fltr3&4, eligcat0-3, sexcat 2",ED_Final_long_nonblankelig_fltr34_year_6_sexcat_2.csv,20603459,f,e,Emergency Room,6,1230,,2,34,,ed_final_long_nonblankelig_fltr34_year_6_sexcat_2
"year 7, eligcatall, sexcat all, dual all",ED_Final_long_blankelig_year_7_sexcat_all_dual_all.csv,10038960,f,e,emergency room usage,7,.,,.,,.,ed_final_long_blankelig_year_7_sexcat_all_dual_all
"year 7, eligcatall, sexcat all, dual 0",ED_Final_long_blankelig_year_7_sexcat_all_dual_0.csv,9317678,f,e,emergency room usage,7,.,,.,,0,ed_final_long_blankelig_year_7_sexcat_all_dual_0
"year 7, eligcatall, sexcat all, dual 1",ED_Final_long_blankelig_year_7_sexcat_all_dual_1.csv,7945009,f,e,emergency room usage,7,.,,.,,1,ed_final_long_blankelig_year_7_sexcat_all_dual_1
"blank eligcat, year 7, sexcat 1, dual all",ED_Final_long_blankelig_year_7_sexcat_1_dual_all.csv,8763804,f,e,emergency room usage,7,.,,1,,.,ed_final_long_blankelig_year_7_sexcat_1_dual_all
"blank eligcat, year 7, sexcat 1, dual 0",ED_Final_long_blankelig_year_7_sexcat_1_dual_0.csv,8186389,f,e,emergency room usage,7,.,,1,,0,ed_final_long_blankelig_year_7_sexcat_1_dual_0
"blank eligcat, year 7, sexcat 1, dual 1",ED_Final_long_blankelig_year_7_sexcat_1_dual_1.csv,6433940,f,e,emergency room usage,7,.,,1,,1,ed_final_long_blankelig_year_7_sexcat_1_dual_1
"blank eligcat, year 7, sexcat 2, dual all",ED_Final_long_blankelig_year_7_sexcat_2_dual_all.csv,8957953,f,e,emergency room usage,7,.,,2,,.,ed_final_long_blankelig_year_7_sexcat_2_dual_all
"blank eligcat, year 7, sexcat 2, dual 0",ED_Final_long_blankelig_year_7_sexcat_2_dual_0.csv,8242498,f,e,emergency room usage,7,.,,2,,0,ed_final_long_blankelig_year_7_sexcat_2_dual_0
"blank eligcat, year 7, sexcat 2, dual 1",ED_Final_long_blankelig_year_7_sexcat_2_dual_1.csv,7187682,f,e,emergency room usage,7,.,,2,,1,ed_final_long_blankelig_year_7_sexcat_2_dual_1
"year 7, fltr1&2, eligcat0-3, sexcat all, dual all",ED_Final_long_nonblankelig_fltr12_year_7_sexcat_all_dual_all.csv,9286992,f,e,emergency room usage,7,1230,,.,12,.,ed_final_long_nonblankelig_fltr12_year_7_sexcat_all_dual_all
"year 7, fltr1&2, eligcat0-3, sexcat all, dual 0",ED_Final_long_nonblankelig_fltr12_year_7_sexcat_all_dual_0.csv,8056261,f,e,emergency room usage,7,1230,,.,12,0,ed_final_long_nonblankelig_fltr12_year_7_sexcat_all_dual_0
