File,File.Name,Number.of.observations,population,measure,description,year,elig,race_code,sex_code,adjust,dual,url
"year 7, fltr3&4, eligcat0-3, sexcat 1",ED_Final_long_nonblankelig_fltr34_year_7_sexcat_1.csv,20434443,f,e,Emergency Room,7,1230,,1,34,,ed_final_long_nonblankelig_fltr34_year_7_sexcat_1
"year 7, fltr1&2, eligcat0-3, sexcat 2",ED_Final_long_nonblankelig_fltr12_year_7_sexcat_2.csv,19839891,f,e,Emergency Room,7,1230,,2,12,,ed_final_long_nonblankelig_fltr12_year_7_sexcat_2
"year 7, fltr3&4, eligcat0-3, sexcat 2",ED_Final_long_nonblankelig_fltr34_year_7_sexcat_2.csv,20612055,f,e,Emergency Room,7,1230,,2,34,,ed_final_long_nonblankelig_fltr34_year_7_sexcat_2
"fltr1&2, year 8, racecat all, sexcat all",ED_Final_long_fltr12_year_8_racecat_all_sexcat_all.csv,11608860,f,e,emergency room usage,8,,.,.,12,,ed_final_long_fltr12_year_8_racecat_all_sexcat_all
"fltr3&4, year 8, racecat all, sexcat all",ED_Final_long_fltr34_year_8_racecat_all_sexcat_all.csv,11846279,f,e,emergency room usage,8,,.,.,34,,ed_final_long_fltr34_year_8_racecat_all_sexcat_all
"fltr1&2, year 8, racecat all, sexcat 1",ED_Final_long_fltr12_year_8_racecat_all_sexcat_1.csv,10488207,f,e,emergency room usage,8,,.,1,12,,ed_final_long_fltr12_year_8_racecat_all_sexcat_1
"fltr3&4, year 8, racecat all, sexcat 1",ED_Final_long_fltr34_year_8_racecat_all_sexcat_1.csv,10754890,f,e,emergency room usage,8,,.,1,34,,ed_final_long_fltr34_year_8_racecat_all_sexcat_1
"fltr1&2, year 8, racecat all, sexcat 2",ED_Final_long_fltr12_year_8_racecat_all_sexcat_2.csv,10508956,f,e,emergency room usage,8,,.,2,12,,ed_final_long_fltr12_year_8_racecat_all_sexcat_2
"fltr3&4, year 8, racecat all, sexcat 2",ED_Final_long_fltr34_year_8_racecat_all_sexcat_2.csv,10758247,f,e,emergency room usage,8,,.,2,34,,ed_final_long_fltr34_year_8_racecat_all_sexcat_2
"fltr3&4, year 8, racecat 1 , sexcat all",ED_Final_long_fltr34_year_8_racecat_1_sexcat_all.csv,10917599,f,e,emergency room usage,8,,1,.,34,,ed_final_long_fltr34_year_8_racecat_1_sexcat_all
"fltr3&4, year 8, racecat 1 , sexcat 1",ED_Final_long_fltr34_year_8_racecat_1_sexcat_1.csv,9844972,f,e,emergency room usage,8,,1,1,34,,ed_final_long_fltr34_year_8_racecat_1_sexcat_1
"fltr3&4, year 8, racecat 1 , sexcat 2",ED_Final_long_fltr34_year_8_racecat_1_sexcat_2.csv,9956539,f,e,emergency room usage,8,,1,2,34,,ed_final_long_fltr34_year_8_racecat_1_sexcat_2
"fltr1&2, year 8, racecat 1 , dual all",ED_Final_long_fltr12_year_8_racecat_1_dual_all.csv,10881375,f,e,emergency room usage,8,,1,,12,.,ed_final_long_fltr12_year_8_racecat_1_dual_all
"fltr1&2, year 8, racecat 1 , dual 0",ED_Final_long_fltr12_year_8_racecat_1_dual_0.csv,10394760,f,e,emergency room usage,8,,1,,12,0,ed_final_long_fltr12_year_8_racecat_1_dual_0
"fltr1&2, year 8, racecat 1 , dual 1",ED_Final_long_fltr12_year_8_racecat_1_dual_1.csv,8713711,f,e,emergency room usage,8,,1,,12,1,ed_final_long_fltr12_year_8_racecat_1_dual_1
"fltr1&2, year 8, racecat 2",ED_Final_long_fltr12_year_8_racecat_2.csv,13816811,f,e,Emergency Room,8,,2,,12,,ed_final_long_fltr12_year_8_racecat_2
"fltr3&4, year 8, racecat 2",ED_Final_long_fltr34_year_8_racecat_2.csv,14528054,f,e,Emergency Room,8,,2,,34,,ed_final_long_fltr34_year_8_racecat_2
"fltr1&2, year 8, racecat 3",ED_Final_long_fltr12_year_8_racecat_3.csv,4126230,f,e,Emergency Room,8,,3,,12,,ed_final_long_fltr12_year_8_racecat_3
"fltr3&4, year 8, racecat 3",ED_Final_long_fltr34_year_8_racecat_3.csv,4403222,f,e,Emergency Room,8,,3,,34,,ed_final_long_fltr34_year_8_racecat_3
"fltr1&2, year 8, racecat 4",ED_Final_long_fltr12_year_8_racecat_4.csv,5437584,f,e,Emergency Room,8,,4,,12,,ed_final_long_fltr12_year_8_racecat_4
"fltr3&4, year 8, racecat 4",ED_Final_long_fltr34_year_8_racecat_4.csv,5658129,f,e,Emergency Room,8,,4,,34,,ed_final_long_fltr34_year_8_racecat_4
"fltr1&2, year 8, racecat 5",ED_Final_long_fltr12_year_8_racecat_5.csv,10957073,f,e,Emergency Room,8,,5,,12,,ed_final_long_fltr12_year_8_racecat_5
"fltr3&4, year 8, racecat 5",ED_Final_long_fltr34_year_8_racecat_5.csv,11602464,f,e,Emergency Room,8,,5,,34,,ed_final_long_fltr34_year_8_racecat_5
"fltr1&2, year 8, racecat 6",ED_Final_long_fltr12_year_8_racecat_6.csv,3441086,f,e,Emergency Room,8,,6,,12,,ed_final_long_fltr12_year_8_racecat_6
"fltr3&4, year 8, racecat 6",ED_Final_long_fltr34_year_8_racecat_6.csv,3726959,f,e,Emergency Room,8,,6,,34,,ed_final_long_fltr34_year_8_racecat_6
"year 2, eligcatall, sexcat all, dual all",Hosp_Final_long_blankelig_year_2_sexcat_all_dual_all.csv,10007422,f,h,hospitalization,2,.,,.,,.,hosp_final_long_blankelig_year_2_sexcat_all_dual_all
"year 2, eligcatall, sexcat all, dual 0",Hosp_Final_long_blankelig_year_2_sexcat_all_dual_0.csv,9316611,f,h,hospitalization,2,.,,.,,0,hosp_final_long_blankelig_year_2_sexcat_all_dual_0
"year 2, eligcatall, sexcat all, dual 1",Hosp_Final_long_blankelig_year_2_sexcat_all_dual_1.csv,7891811,f,h,hospitalization,2,.,,.,,1,hosp_final_long_blankelig_year_2_sexcat_all_dual_1
"year 2, eligcatall, sexcat 1, dual all",Hosp_Final_long_blankelig_year_2_sexcat_1_dual_all.csv,8813204,f,h,hospitalization,2,.,,1,,.,hosp_final_long_blankelig_year_2_sexcat_1_dual_all
"year 2, eligcatall, sexcat 1, dual 0",Hosp_Final_long_blankelig_year_2_sexcat_1_dual_0.csv,8297913,f,h,hospitalization,2,.,,1,,0,hosp_final_long_blankelig_year_2_sexcat_1_dual_0
"year 2, eligcatall, sexcat 1, dual 1",Hosp_Final_long_blankelig_year_2_sexcat_1_dual_1.csv,6419679,f,h,hospitalization,2,.,,1,,1,hosp_final_long_blankelig_year_2_sexcat_1_dual_1
"year 2, eligcatall, sexcat 2, dual all",Hosp_Final_long_blankelig_year_2_sexcat_2_dual_all.csv,8858714,f,h,hospitalization,2,.,,2,,.,hosp_final_long_blankelig_year_2_sexcat_2_dual_all
"year 2, eligcatall, sexcat 2, dual 0",Hosp_Final_long_blankelig_year_2_sexcat_2_dual_0.csv,8169539,f,h,hospitalization,2,.,,2,,0,hosp_final_long_blankelig_year_2_sexcat_2_dual_0
"year 2, eligcatall, sexcat 2, dual 1",Hosp_Final_long_blankelig_year_2_sexcat_2_dual_1.csv,7159019,f,h,hospitalization,2,.,,2,,1,hosp_final_long_blankelig_year_2_sexcat_2_dual_1
"year 2, fltr1&2, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr12_year_2_sexcat_all_dual_all.csv,9472809,f,h,hospitalization,2,1230,,.,12,.,hosp_final_long_nonblankelig_fltr12_year_2_sexcat_all_dual_all
"year 2, fltr1&2, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr12_year_2_sexcat_all_dual_0.csv,8321625,f,h,hospitalization,2,1230,,.,12,0,hosp_final_long_nonblankelig_fltr12_year_2_sexcat_all_dual_0
"year 2, fltr1&2, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr12_year_2_sexcat_all_dual_1.csv,6833097,f,h,hospitalization,2,1230,,.,12,1,hosp_final_long_nonblankelig_fltr12_year_2_sexcat_all_dual_1
"year 2, fltr3&4, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr34_year_2_sexcat_all_dual_all.csv,9550806,f,h,hospitalization,2,1230,,.,34,.,hosp_final_long_nonblankelig_fltr34_year_2_sexcat_all_dual_all
"year 2, fltr3&4, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr34_year_2_sexcat_all_dual_0.csv,8322968,f,h,hospitalization,2,1230,,.,34,0,hosp_final_long_nonblankelig_fltr34_year_2_sexcat_all_dual_0
"year 2, fltr3&4, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr34_year_2_sexcat_all_dual_1.csv,6994834,f,h,hospitalization,2,1230,,.,34,1,hosp_final_long_nonblankelig_fltr34_year_2_sexcat_all_dual_1
"year 2, fltr1&2, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr12_year_2_sexcat_1.csv,20197878,f,h,Hospitalization,2,1230,,1,12,,hosp_final_long_nonblankelig_fltr12_year_2_sexcat_1
"year 2, fltr3&4, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr34_year_2_sexcat_1.csv,20413555,f,h,Hospitalization,2,1230,,1,34,,hosp_final_long_nonblankelig_fltr34_year_2_sexcat_1
"year 2, fltr1&2, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr12_year_2_sexcat_2.csv,20138393,f,h,Hospitalization,2,1230,,2,12,,hosp_final_long_nonblankelig_fltr12_year_2_sexcat_2
"year 2, fltr3&4, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr34_year_2_sexcat_2.csv,20359139,f,h,Hospitalization,2,1230,,2,34,,hosp_final_long_nonblankelig_fltr34_year_2_sexcat_2
"year 3, eligcatall, sexcat all, dual all",Hosp_Final_long_blankelig_year_3_sexcat_all_dual_all.csv,10050244,f,h,hospitalization,3,.,,.,,.,hosp_final_long_blankelig_year_3_sexcat_all_dual_all
"year 3, eligcatall, sexcat all, dual 0",Hosp_Final_long_blankelig_year_3_sexcat_all_dual_0.csv,9350084,f,h,hospitalization,3,.,,.,,0,hosp_final_long_blankelig_year_3_sexcat_all_dual_0
"year 3, eligcatall, sexcat all, dual 1",Hosp_Final_long_blankelig_year_3_sexcat_all_dual_1.csv,7898115,f,h,hospitalization,3,.,,.,,1,hosp_final_long_blankelig_year_3_sexcat_all_dual_1
"year 3, eligcatall, sexcat 1, dual all",Hosp_Final_long_blankelig_year_3_sexcat_1_dual_all.csv,8829465,f,h,hospitalization,3,.,,1,,.,hosp_final_long_blankelig_year_3_sexcat_1_dual_all
"year 3, eligcatall, sexcat 1, dual 0",Hosp_Final_long_blankelig_year_3_sexcat_1_dual_0.csv,8320971,f,h,hospitalization,3,.,,1,,0,hosp_final_long_blankelig_year_3_sexcat_1_dual_0
"year 3, eligcatall, sexcat 1, dual 1",Hosp_Final_long_blankelig_year_3_sexcat_1_dual_1.csv,6418315,f,h,hospitalization,3,.,,1,,1,hosp_final_long_blankelig_year_3_sexcat_1_dual_1
"year 3, eligcatall, sexcat 2, dual all",Hosp_Final_long_blankelig_year_3_sexcat_2_dual_all.csv,8897157,f,h,hospitalization,3,.,,2,,.,hosp_final_long_blankelig_year_3_sexcat_2_dual_all
"year 3, eligcatall, sexcat 2, dual 0",Hosp_Final_long_blankelig_year_3_sexcat_2_dual_0.csv,8209877,f,h,hospitalization,3,.,,2,,0,hosp_final_long_blankelig_year_3_sexcat_2_dual_0
"year 3, eligcatall, sexcat 2, dual 1",Hosp_Final_long_blankelig_year_3_sexcat_2_dual_1.csv,7157026,f,h,hospitalization,3,.,,2,,1,hosp_final_long_blankelig_year_3_sexcat_2_dual_1
"year 3, fltr1&2, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr12_year_3_sexcat_all_dual_all.csv,9502132,f,h,hospitalization,3,1230,,.,12,.,hosp_final_long_nonblankelig_fltr12_year_3_sexcat_all_dual_all
"year 3, fltr1&2, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr12_year_3_sexcat_all_dual_0.csv,8356824,f,h,hospitalization,3,1230,,.,12,0,hosp_final_long_nonblankelig_fltr12_year_3_sexcat_all_dual_0
"year 3, fltr1&2, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr12_year_3_sexcat_all_dual_1.csv,6830228,f,h,hospitalization,3,1230,,.,12,1,hosp_final_long_nonblankelig_fltr12_year_3_sexcat_all_dual_1
"year 3, fltr3&4, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr34_year_3_sexcat_all_dual_all.csv,9565141,f,h,hospitalization,3,1230,,.,34,.,hosp_final_long_nonblankelig_fltr34_year_3_sexcat_all_dual_all
"year 3, fltr3&4, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr34_year_3_sexcat_all_dual_0.csv,8342778,f,h,hospitalization,3,1230,,.,34,0,hosp_final_long_nonblankelig_fltr34_year_3_sexcat_all_dual_0
"year 3, fltr3&4, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr34_year_3_sexcat_all_dual_1.csv,6991148,f,h,hospitalization,3,1230,,.,34,1,hosp_final_long_nonblankelig_fltr34_year_3_sexcat_all_dual_1
"year 3, fltr1&2, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr12_year_3_sexcat_1.csv,20261367,f,h,Hospitalization,3,1230,,1,12,,hosp_final_long_nonblankelig_fltr12_year_3_sexcat_1
"year 3, fltr3&4, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr34_year_3_sexcat_1.csv,20442390,f,h,Hospitalization,3,1230,,1,34,,hosp_final_long_nonblankelig_fltr34_year_3_sexcat_1
"year 3, fltr1&2, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr12_year_3_sexcat_2.csv,20199762,f,h,Hospitalization,3,1230,,2,12,,hosp_final_long_nonblankelig_fltr12_year_3_sexcat_2
"year 3, fltr3&4, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr34_year_3_sexcat_2.csv,20378348,f,h,Hospitalization,3,1230,,2,34,,hosp_final_long_nonblankelig_fltr34_year_3_sexcat_2
"year 4, eligcatall, sexcat all, dual all",Hosp_Final_long_blankelig_year_4_sexcat_all_dual_all.csv,10058718,f,h,hospitalization,4,.,,.,,.,hosp_final_long_blankelig_year_4_sexcat_all_dual_all
"year 4, eligcatall, sexcat all, dual 0",Hosp_Final_long_blankelig_year_4_sexcat_all_dual_0.csv,9381741,f,h,hospitalization,4,.,,.,,0,hosp_final_long_blankelig_year_4_sexcat_all_dual_0
"year 4, eligcatall, sexcat all, dual 1",Hosp_Final_long_blankelig_year_4_sexcat_all_dual_1.csv,7872615,f,h,hospitalization,4,.,,.,,1,hosp_final_long_blankelig_year_4_sexcat_all_dual_1
"year 4, eligcatall, sexcat 1, dual all",Hosp_Final_long_blankelig_year_4_sexcat_1_dual_all.csv,8849919,f,h,hospitalization,4,.,,1,,.,hosp_final_long_blankelig_year_4_sexcat_1_dual_all
"year 4, eligcatall, sexcat 1, dual 0",Hosp_Final_long_blankelig_year_4_sexcat_1_dual_0.csv,8345906,f,h,hospitalization,4,.,,1,,0,hosp_final_long_blankelig_year_4_sexcat_1_dual_0
"year 4, eligcatall, sexcat 1, dual 1",Hosp_Final_long_blankelig_year_4_sexcat_1_dual_1.csv,6382353,f,h,hospitalization,4,.,,1,,1,hosp_final_long_blankelig_year_4_sexcat_1_dual_1
"year 4, eligcatall, sexcat 2, dual all",Hosp_Final_long_blankelig_year_4_sexcat_2_dual_all.csv,8918520,f,h,hospitalization,4,.,,2,,.,hosp_final_long_blankelig_year_4_sexcat_2_dual_all
"year 4, eligcatall, sexcat 2, dual 0",Hosp_Final_long_blankelig_year_4_sexcat_2_dual_0.csv,8242570,f,h,hospitalization,4,.,,2,,0,hosp_final_long_blankelig_year_4_sexcat_2_dual_0
"year 4, eligcatall, sexcat 2, dual 1",Hosp_Final_long_blankelig_year_4_sexcat_2_dual_1.csv,7119833,f,h,hospitalization,4,.,,2,,1,hosp_final_long_blankelig_year_4_sexcat_2_dual_1
"year 4, fltr1&2, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr12_year_4_sexcat_all_dual_all.csv,9514033,f,h,hospitalization,4,1230,,.,12,.,hosp_final_long_nonblankelig_fltr12_year_4_sexcat_all_dual_all
"year 4, fltr1&2, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr12_year_4_sexcat_all_dual_0.csv,8371946,f,h,hospitalization,4,1230,,.,12,0,hosp_final_long_nonblankelig_fltr12_year_4_sexcat_all_dual_0
"year 4, fltr1&2, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr12_year_4_sexcat_all_dual_1.csv,6821573,f,h,hospitalization,4,1230,,.,12,1,hosp_final_long_nonblankelig_fltr12_year_4_sexcat_all_dual_1
"year 4, fltr3&4, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr34_year_4_sexcat_all_dual_all.csv,9569615,f,h,hospitalization,4,1230,,.,34,.,hosp_final_long_nonblankelig_fltr34_year_4_sexcat_all_dual_all
"year 4, fltr3&4, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr34_year_4_sexcat_all_dual_0.csv,8354064,f,h,hospitalization,4,1230,,.,34,0,hosp_final_long_nonblankelig_fltr34_year_4_sexcat_all_dual_0
"year 4, fltr3&4, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr34_year_4_sexcat_all_dual_1.csv,6966991,f,h,hospitalization,4,1230,,.,34,1,hosp_final_long_nonblankelig_fltr34_year_4_sexcat_all_dual_1
"year 4, fltr1&2, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr12_year_4_sexcat_1.csv,20246652,f,h,Hospitalization,4,1230,,1,12,,hosp_final_long_nonblankelig_fltr12_year_4_sexcat_1
"year 4, fltr3&4, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr34_year_4_sexcat_1.csv,20421236,f,h,Hospitalization,4,1230,,1,34,,hosp_final_long_nonblankelig_fltr34_year_4_sexcat_1
"year 4, fltr1&2, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr12_year_4_sexcat_2.csv,20212821,f,h,Hospitalization,4,1230,,2,12,,hosp_final_long_nonblankelig_fltr12_year_4_sexcat_2
"year 4, fltr3&4, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr34_year_4_sexcat_2.csv,20368810,f,h,Hospitalization,4,1230,,2,34,,hosp_final_long_nonblankelig_fltr34_year_4_sexcat_2
"year 5, eligcatall, sexcat all, dual all",Hosp_Final_long_blankelig_year_5_sexcat_all_dual_all.csv,10083865,f,h,hospitalization,5,.,,.,,.,hosp_final_long_blankelig_year_5_sexcat_all_dual_all
"year 5, eligcatall, sexcat all, dual 0",Hosp_Final_long_blankelig_year_5_sexcat_all_dual_0.csv,9418276,f,h,hospitalization,5,.,,.,,0,hosp_final_long_blankelig_year_5_sexcat_all_dual_0
"year 5, eligcatall, sexcat all, dual 1",Hosp_Final_long_blankelig_year_5_sexcat_all_dual_1.csv,7858287,f,h,hospitalization,5,.,,.,,1,hosp_final_long_blankelig_year_5_sexcat_all_dual_1
"year 5, eligcatall, sexcat 1, dual all",Hosp_Final_long_blankelig_year_5_sexcat_1_dual_all.csv,8865828,f,h,hospitalization,5,.,,1,,.,hosp_final_long_blankelig_year_5_sexcat_1_dual_all
"year 5, eligcatall, sexcat 1, dual 0",Hosp_Final_long_blankelig_year_5_sexcat_1_dual_0.csv,8367457,f,h,hospitalization,5,.,,1,,0,hosp_final_long_blankelig_year_5_sexcat_1_dual_0
"year 5, eligcatall, sexcat 1, dual 1",Hosp_Final_long_blankelig_year_5_sexcat_1_dual_1.csv,6361881,f,h,hospitalization,5,.,,1,,1,hosp_final_long_blankelig_year_5_sexcat_1_dual_1
"year 5, eligcatall, sexcat 2, dual all",Hosp_Final_long_blankelig_year_5_sexcat_2_dual_all.csv,8949730,f,h,hospitalization,5,.,,2,,.,hosp_final_long_blankelig_year_5_sexcat_2_dual_all
"year 5, eligcatall, sexcat 2, dual 0",Hosp_Final_long_blankelig_year_5_sexcat_2_dual_0.csv,8294205,f,h,hospitalization,5,.,,2,,0,hosp_final_long_blankelig_year_5_sexcat_2_dual_0
"year 5, eligcatall, sexcat 2, dual 1",Hosp_Final_long_blankelig_year_5_sexcat_2_dual_1.csv,7099829,f,h,hospitalization,5,.,,2,,1,hosp_final_long_blankelig_year_5_sexcat_2_dual_1
"year 5, fltr1&2, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr12_year_5_sexcat_all_dual_all.csv,9546214,f,h,hospitalization,5,1230,,.,12,.,hosp_final_long_nonblankelig_fltr12_year_5_sexcat_all_dual_all
"year 5, fltr1&2, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr12_year_5_sexcat_all_dual_0.csv,8412387,f,h,hospitalization,5,1230,,.,12,0,hosp_final_long_nonblankelig_fltr12_year_5_sexcat_all_dual_0
"year 5, fltr1&2, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr12_year_5_sexcat_all_dual_1.csv,6799578,f,h,hospitalization,5,1230,,.,12,1,hosp_final_long_nonblankelig_fltr12_year_5_sexcat_all_dual_1
"year 5, fltr3&4, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr34_year_5_sexcat_all_dual_all.csv,9604083,f,h,hospitalization,5,1230,,.,34,.,hosp_final_long_nonblankelig_fltr34_year_5_sexcat_all_dual_all
"year 5, fltr3&4, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr34_year_5_sexcat_all_dual_0.csv,8396602,f,h,hospitalization,5,1230,,.,34,0,hosp_final_long_nonblankelig_fltr34_year_5_sexcat_all_dual_0
"year 5, fltr3&4, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr34_year_5_sexcat_all_dual_1.csv,6950579,f,h,hospitalization,5,1230,,.,34,1,hosp_final_long_nonblankelig_fltr34_year_5_sexcat_all_dual_1
"year 5, fltr1&2, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr12_year_5_sexcat_1.csv,20246765,f,h,Hospitalization,5,1230,,1,12,,hosp_final_long_nonblankelig_fltr12_year_5_sexcat_1
"year 5, fltr3&4, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr34_year_5_sexcat_1.csv,20425389,f,h,Hospitalization,5,1230,,1,34,,hosp_final_long_nonblankelig_fltr34_year_5_sexcat_1
"year 5, fltr1&2, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr12_year_5_sexcat_2.csv,20238200,f,h,Hospitalization,5,1230,,2,12,,hosp_final_long_nonblankelig_fltr12_year_5_sexcat_2
"year 5, fltr3&4, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr34_year_5_sexcat_2.csv,20395421,f,h,Hospitalization,5,1230,,2,34,,hosp_final_long_nonblankelig_fltr34_year_5_sexcat_2
"year 6, eligcatall, sexcat all, dual all",Hosp_Final_long_blankelig_year_6_sexcat_all_dual_all.csv,10142232,f,h,hospitalization,6,.,,.,,.,hosp_final_long_blankelig_year_6_sexcat_all_dual_all
"year 6, eligcatall, sexcat all, dual 0",Hosp_Final_long_blankelig_year_6_sexcat_all_dual_0.csv,9482678,f,h,hospitalization,6,.,,.,,0,hosp_final_long_blankelig_year_6_sexcat_all_dual_0
"year 6, eligcatall, sexcat all, dual 1",Hosp_Final_long_blankelig_year_6_sexcat_all_dual_1.csv,7904514,f,h,hospitalization,6,.,,.,,1,hosp_final_long_blankelig_year_6_sexcat_all_dual_1
"year 6, eligcatall, sexcat 1, dual all",Hosp_Final_long_blankelig_year_6_sexcat_1_dual_all.csv,8913016,f,h,hospitalization,6,.,,1,,.,hosp_final_long_blankelig_year_6_sexcat_1_dual_all
"year 6, eligcatall, sexcat 1, dual 0",Hosp_Final_long_blankelig_year_6_sexcat_1_dual_0.csv,8411195,f,h,hospitalization,6,.,,1,,0,hosp_final_long_blankelig_year_6_sexcat_1_dual_0
"year 6, eligcatall, sexcat 1, dual 1",Hosp_Final_long_blankelig_year_6_sexcat_1_dual_1.csv,6390203,f,h,hospitalization,6,.,,1,,1,hosp_final_long_blankelig_year_6_sexcat_1_dual_1
"year 6, eligcatall, sexcat 2, dual all",Hosp_Final_long_blankelig_year_6_sexcat_2_dual_all.csv,9004063,f,h,hospitalization,6,.,,2,,.,hosp_final_long_blankelig_year_6_sexcat_2_dual_all
"year 6, eligcatall, sexcat 2, dual 0",Hosp_Final_long_blankelig_year_6_sexcat_2_dual_0.csv,8346657,f,h,hospitalization,6,.,,2,,0,hosp_final_long_blankelig_year_6_sexcat_2_dual_0
"year 6, eligcatall, sexcat 2, dual 1",Hosp_Final_long_blankelig_year_6_sexcat_2_dual_1.csv,7132994,f,h,hospitalization,6,.,,2,,1,hosp_final_long_blankelig_year_6_sexcat_2_dual_1
"year 6, fltr1&2, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_all.csv,9602018,f,h,hospitalization,6,1230,,.,12,.,hosp_final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_all
"year 6, fltr1&2, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_0.csv,8464377,f,h,hospitalization,6,1230,,.,12,0,hosp_final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_0
"year 6, fltr1&2, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_1.csv,6828742,f,h,hospitalization,6,1230,,.,12,1,hosp_final_long_nonblankelig_fltr12_year_6_sexcat_all_dual_1
"year 6, fltr3&4, eligcat0-3, sexcat all, dual all",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_all.csv,9668423,f,h,hospitalization,6,1230,,.,34,.,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_all
"year 6, fltr3&4, eligcat0-3, sexcat all, dual 0",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_0.csv,8456384,f,h,hospitalization,6,1230,,.,34,0,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_0
"year 6, fltr3&4, eligcat0-3, sexcat all, dual 1",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_1.csv,6993750,f,h,hospitalization,6,1230,,.,34,1,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_all_dual_1
"year 6, fltr1&2, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr12_year_6_sexcat_1.csv,20364482,f,h,Hospitalization,6,1230,,1,12,,hosp_final_long_nonblankelig_fltr12_year_6_sexcat_1
"year 6, fltr3&4, eligcat0-3, sexcat 1",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_1.csv,20551800,f,h,Hospitalization,6,1230,,1,34,,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_1
"year 6, fltr1&2, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr12_year_6_sexcat_2.csv,20361305,f,h,Hospitalization,6,1230,,2,12,,hosp_final_long_nonblankelig_fltr12_year_6_sexcat_2
"year 6, fltr3&4, eligcat0-3, sexcat 2",Hosp_Final_long_nonblankelig_fltr34_year_6_sexcat_2.csv,20537234,f,h,Hospitalization,6,1230,,2,34,,hosp_final_long_nonblankelig_fltr34_year_6_sexcat_2
